2018-04-24 21:28:35 this bot joined the server
2018-04-24 21:28:36 Role created: 'Synapse' (id 438451215970598912)
2018-04-24 21:28:36 Member role add: 'Synapse' role was added to @Synapse#0692
2018-04-24 21:28:49 Member role add: 'Jahnyce' role was added to @Synapse#0692
2018-04-24 22:33:07 Role deleted: 'GP' (id 438449108366131210)
2018-04-24 22:33:07 Member leave: @Ghostplay R2#1298 (id 435829986772123658)
2018-04-24 22:33:10 Role deleted: 'Synapse' (id 438451215970598912)
2018-04-24 22:33:10 Member leave: @Synapse#0692 (id 435538622293344266)
2018-04-24 22:33:11 this bot left the server
2018-04-25 23:18:25 this bot joined the server
2018-04-25 23:18:25 Role created: 'Synapse' (id 438841239308337192)
2018-04-25 23:18:25 Member role add: 'Synapse' role was added to @Synapse#0692
2018-04-25 23:21:28 Role permissions: 'Ghostplay R2' changed from 268520497 to 268782705
2018-04-25 23:21:28 Role position: 'Ghostplay R2' changed from 2 to 9
2018-04-25 23:21:51 Role mentionable: 'Ghostplay R2' is now mentionable
2018-04-25 23:21:51 Role hoist: 'Ghostplay R2' is now shown seperately
2018-04-25 23:21:51 Role permissions: 'Ghostplay R2' changed from 268782705 to 2146958591
2018-04-25 23:22:37 Member role add: 'Bots' role was added to @Ghostplay R2#1298
2018-04-25 23:26:54 Member role remove: The 'Bots' role was removed from @Ghostplay R2#1298
2018-04-26 03:23:52 Role color: 'Jahnyce' changed from #f7adc2 to #9a3983
2018-04-26 03:23:52 Role position: 'Jahnyce' changed from 8 to 7
2018-04-26 03:23:56 Role color: 'Jahnyce' changed from #9a3983 to #6a1e55
2018-04-26 03:24:00 Role color: 'Jahnyce' changed from #6a1e55 to #da4e1d
2018-04-26 03:24:05 Role color: 'Jahnyce' changed from #da4e1d to #3390b8
2018-04-26 03:24:10 Role color: 'Jahnyce' changed from #3390b8 to #250c5e
2018-04-26 03:24:14 Role color: 'Jahnyce' changed from #250c5e to #b6acc3
2018-04-26 03:24:18 Role color: 'Jahnyce' changed from #b6acc3 to #de53cc
2018-04-26 03:24:23 Role color: 'Jahnyce' changed from #de53cc to #7273e0
2018-04-26 03:24:28 Role color: 'Jahnyce' changed from #7273e0 to #a2184d
2018-04-26 03:24:32 Role color: 'Jahnyce' changed from #a2184d to #553761
2018-04-26 03:24:36 Role color: 'Jahnyce' changed from #553761 to #9c6154
2018-04-26 03:24:41 Role color: 'Jahnyce' changed from #9c6154 to #69c4bb
2018-04-26 03:24:46 Role color: 'Jahnyce' changed from #69c4bb to #d3176e
2018-04-26 03:24:50 Role color: 'Jahnyce' changed from #d3176e to #9e2528
2018-04-26 03:24:54 Role color: 'Jahnyce' changed from #9e2528 to #f84337
2018-04-26 03:24:59 Role color: 'Jahnyce' changed from #f84337 to #f6d072
2018-04-26 03:25:04 Role color: 'Jahnyce' changed from #f6d072 to #7cdb5e
2018-04-26 03:25:09 Role color: 'Jahnyce' changed from #7cdb5e to #1ce4a2
2018-04-26 03:25:12 Role color: 'Jahnyce' changed from #1ce4a2 to #7de856
2018-04-26 03:25:17 Role color: 'Jahnyce' changed from #7de856 to #8fbb3c
2018-04-26 03:25:22 Role color: 'Jahnyce' changed from #8fbb3c to #5761cc
2018-04-26 03:25:27 Role color: 'Jahnyce' changed from #5761cc to #e81fcb
2018-04-26 03:25:30 Role color: 'Jahnyce' changed from #e81fcb to #16c84c
2018-04-26 03:25:35 Role color: 'Jahnyce' changed from #16c84c to #c2a7f2
2018-04-26 03:25:39 Role color: 'Jahnyce' changed from #c2a7f2 to #10972a
2018-04-26 03:25:45 Role color: 'Jahnyce' changed from #10972a to #150d80
2018-04-26 03:25:48 Role color: 'Jahnyce' changed from #150d80 to #c7fa9b
2018-04-26 03:25:53 Role color: 'Jahnyce' changed from #c7fa9b to #2c16af
2018-04-26 03:25:57 Role color: 'Jahnyce' changed from #2c16af to #0bc4d5
2018-04-26 03:26:02 Role color: 'Jahnyce' changed from #0bc4d5 to #686cfb
2018-04-26 03:26:07 Role color: 'Jahnyce' changed from #686cfb to #231cb4
2018-04-26 03:26:11 Role color: 'Jahnyce' changed from #231cb4 to #d28f6a
2018-04-26 03:26:15 Role color: 'Jahnyce' changed from #d28f6a to #edf943
2018-04-26 03:26:20 Role color: 'Jahnyce' changed from #edf943 to #1249de
2018-04-26 03:26:25 Role color: 'Jahnyce' changed from #1249de to #c6b339
2018-04-26 03:26:29 Role color: 'Jahnyce' changed from #c6b339 to #32c972
2018-04-26 03:26:33 Role color: 'Jahnyce' changed from #32c972 to #159e7f
2018-04-26 03:26:38 Role color: 'Jahnyce' changed from #159e7f to #82fe66
2018-04-26 03:26:43 Role color: 'Jahnyce' changed from #82fe66 to #73d0f4
2018-04-26 03:26:47 Role color: 'Jahnyce' changed from #73d0f4 to #d27ea0
