2018-04-24 19:12:39 this bot joined the server
2018-04-24 19:12:39 Member role add: 'Synapse' role was added to @Synapse#0692
2018-04-24 19:12:53 Member role add: '📞SEKRETER📞' role was added to @Synapse#0692
2018-04-24 19:12:55 Member role add: '📞SEKRETER📞' role was added to @Ghostplay R2#1298
2018-04-24 19:13:19 Role position: '📹 YAYINCI 📹' changed from 15 to 14
2018-04-24 19:13:19 Role position: '👑FOUNDER👑' changed from 16 to 15
2018-04-24 19:13:19 Role position: '👑 KİNG FOUNDER👑' changed from 17 to 16
2018-04-24 19:13:19 Role position: '/' changed from 18 to 17
2018-04-24 19:13:19 Role position: '//' changed from 19 to 18
2018-04-24 19:13:19 Role position: 'Sayko' changed from 20 to 19
2018-04-24 19:13:19 Role permissions: 'Ghostplay R2' changed from 268520497 to 268782705
2018-04-24 19:13:19 Role position: 'Ghostplay R2' changed from 1 to 20
2018-04-24 19:13:19 Role permissions: 'Synapse' changed from 8 to 262216
2018-04-24 19:13:19 Role position: 'Synapse' changed from 1 to 21
2018-04-24 19:13:19 Role position: '📞SEKRETER📞' changed from 14 to 22
2018-04-24 19:13:20 Role permissions: '📞SEKRETER📞' changed from 536345727 to 2146958591
2018-04-24 19:13:37 Member role remove: The '📞SEKRETER📞' role was removed from @Kyriel#1988
2018-04-24 20:51:07 Role color: '👑 KİNG FOUNDER👑' changed from #e20000 to #3f75ae
2018-04-24 20:51:18 Role color: '👑 KİNG FOUNDER👑' changed from #3f75ae to #cf49de
2018-04-24 20:51:34 Role color: '👑 KİNG FOUNDER👑' changed from #cf49de to #de6276
2018-04-24 20:51:44 Role color: '👑 KİNG FOUNDER👑' changed from #de6276 to #9305f0
2018-04-24 20:51:55 Role color: '👑 KİNG FOUNDER👑' changed from #9305f0 to #f8d17e
2018-04-24 20:52:05 Role color: '👑 KİNG FOUNDER👑' changed from #f8d17e to #d97030
2018-04-24 20:52:15 Role color: '👑 KİNG FOUNDER👑' changed from #d97030 to #bb5321
2018-04-24 20:52:26 Role color: '👑 KİNG FOUNDER👑' changed from #bb5321 to #21d996
2018-04-24 20:52:36 Role color: '👑 KİNG FOUNDER👑' changed from #21d996 to #d4327d
2018-04-24 20:52:53 Role color: '👑 KİNG FOUNDER👑' changed from #d4327d to #1823cd
2018-04-24 20:53:03 Role color: '👑 KİNG FOUNDER👑' changed from #1823cd to #b7a36c
2018-04-24 20:53:14 Role color: '👑 KİNG FOUNDER👑' changed from #b7a36c to #1c5b02
2018-04-24 20:53:30 Role color: '👑 KİNG FOUNDER👑' changed from #1c5b02 to #5a5288
2018-04-24 20:53:41 Role color: '👑 KİNG FOUNDER👑' changed from #5a5288 to #73c141
2018-04-24 20:53:58 Role color: '👑 KİNG FOUNDER👑' changed from #73c141 to #45f01b
2018-04-24 20:54:08 Role color: '👑 KİNG FOUNDER👑' changed from #45f01b to #88431b
2018-04-24 20:54:18 Role color: '👑 KİNG FOUNDER👑' changed from #88431b to #e8e146
2018-04-24 20:54:28 Role color: '👑 KİNG FOUNDER👑' changed from #e8e146 to #4b87b1
2018-04-24 20:54:38 Role color: '👑 KİNG FOUNDER👑' changed from #4b87b1 to #17ef74
2018-04-24 20:55:09 Role color: '👑 KİNG FOUNDER👑' changed from #17ef74 to #12951f
2018-04-24 20:55:26 Role color: '👑 KİNG FOUNDER👑' changed from #12951f to #a0ecf0
