2018-04-21 10:05:39 this bot joined the server
2018-04-21 10:05:39 Role created: 'Synapse' (id 437192181879537665)
2018-04-21 10:05:39 Member role add: 'Synapse' role was added to @Synapse#0692
2018-04-21 10:05:42 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #056289 to #10824e
2018-04-21 10:05:42 Role position: 'OWNER [WHOLE UNIVERSE]' changed from 23 to 22
2018-04-21 10:05:45 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #10824e to #086871
2018-04-21 10:05:49 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #086871 to #567198
2018-04-21 10:05:54 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #567198 to #7c4f6c
2018-04-21 10:06:01 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #7c4f6c to #da6905
2018-04-21 10:06:05 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #da6905 to #ea5e3c
2018-04-21 10:06:12 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #ea5e3c to #f64ac1
2018-04-21 10:06:16 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #f64ac1 to #f745fe
2018-04-21 10:06:24 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #f745fe to #5821fc
2018-04-21 10:06:29 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #5821fc to #bd5e4e
2018-04-21 10:06:35 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #bd5e4e to #66aa62
2018-04-21 10:06:44 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #66aa62 to #90c0fc
2018-04-21 10:06:48 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #90c0fc to #47874d
2018-04-21 10:07:04 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #47874d to #310c90
2018-04-21 10:07:08 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #310c90 to #3603b7
2018-04-21 10:07:12 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #3603b7 to #6719e0
2018-04-21 10:07:16 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #6719e0 to #7cbab5
2018-04-21 10:07:20 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #7cbab5 to #94d636
2018-04-21 10:07:24 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #94d636 to #c980af
2018-04-21 10:07:40 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #c980af to #539144
2018-04-21 10:07:43 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #539144 to #610588
2018-04-21 10:07:47 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #610588 to #e53a09
2018-04-21 10:07:54 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #e53a09 to #486664
2018-04-21 10:07:58 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #486664 to #e61eb8
2018-04-21 10:08:05 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #e61eb8 to #9cc0b5
2018-04-21 10:08:09 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #9cc0b5 to #6d7b65
2018-04-21 10:08:13 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #6d7b65 to #a92d9f
2018-04-21 10:08:25 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #a92d9f to #a3d162
2018-04-21 10:08:27 Member role add: '[AUTO MODS]™' role was added to @Synapse#0692
2018-04-21 10:08:28 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #a3d162 to #46e115
2018-04-21 10:08:32 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #46e115 to #ed61b8
2018-04-21 10:08:35 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #ed61b8 to #cd194a
2018-04-21 10:08:43 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #cd194a to #d72cfc
2018-04-21 10:08:47 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #d72cfc to #d869a9
2018-04-21 10:08:54 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #d869a9 to #8fb2ae
2018-04-21 10:08:58 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #8fb2ae to #51ba97
2018-04-21 10:09:02 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #51ba97 to #5f6a3c
2018-04-21 10:09:09 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #5f6a3c to #a2a69e
2018-04-21 10:09:13 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #a2a69e to #907b77
2018-04-21 10:09:17 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #907b77 to #70b45a
2018-04-21 10:09:24 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #70b45a to #eab04a
