2018-04-22 00:01:06 this bot joined the server
2018-04-22 00:01:06 Member role add: 'Synapse' role was added to @Synapse#0692
2018-04-22 00:02:08 Member role add: 'staff/cherriez' role was added to @Synapse#0692
2018-04-22 00:02:41 Member join: @Ghostplay R2#1298 (id 435829986772123658)
2018-04-22 00:02:41 Member role add: 'Ghostplay R2' role was added to @Ghostplay R2#1298
2018-04-22 00:02:41 Role created: 'Ghostplay R2' (id 437402829922238464)
2018-04-22 00:02:41 Member role add: 'Ghostplay R2' role was added to @Ghostplay R2#1298
2018-04-22 00:03:53 Role permissions: 'Ghostplay R2' changed from 268520497 to 268782705
2018-04-22 00:03:53 Role position: 'Ghostplay R2' changed from 1 to 7
2018-04-22 00:03:54 Role mentionable: 'Ghostplay R2' is now mentionable
2018-04-22 00:03:54 Role hoist: 'Ghostplay R2' is now shown seperately
2018-04-22 00:03:54 Role permissions: 'Ghostplay R2' changed from 268782705 to 2146958591
2018-04-22 00:04:34 Role created: 'new role' (id 437403303026884608)
2018-04-22 00:05:24 Role position: 'new role' changed from 1 to 8
2018-04-22 00:05:24 Role renamed: 'new role' to 'GP-Bot'
2018-04-22 00:05:24 Role mentionable: 'GP-Bot' is now mentionable
2018-04-22 00:05:24 Role hoist: 'GP-Bot' is now shown seperately
2018-04-22 00:05:24 Role permissions: 'new role' changed from 104324161 to 2146958591
2018-04-22 00:07:32 Member role add: 'GP-Bot' role was added to @Ghostplay R2#1298
2018-04-22 00:10:51 Role renamed: 'aesthetic babe' to '˚✧₊⁎'
2018-04-22 00:10:51 Role position: 'aesthetic babe' changed from 6 to 5
2018-04-22 00:22:47 Member join: @BonesBot#4573 (id 384151022555103232)
2018-04-22 00:26:26 Channel created: bot-region
2018-04-22 00:27:45 Role color: 'my coloring role' changed from #09090a to #ba1ae7
2018-04-22 00:27:45 Role position: 'my coloring role' changed from 5 to 4
2018-04-22 00:27:56 Role color: 'my coloring role' changed from #ba1ae7 to #a3db77
2018-04-22 00:28:05 Role color: 'my coloring role' changed from #a3db77 to #dd47bf
2018-04-22 00:28:21 Role color: 'my coloring role' changed from #dd47bf to #4a9ee9
2018-04-22 00:28:31 Role color: 'my coloring role' changed from #4a9ee9 to #c567d0
2018-04-22 00:28:41 Role color: 'my coloring role' changed from #c567d0 to #be8981
2018-04-22 00:28:50 Role color: 'my coloring role' changed from #be8981 to #45e754
2018-04-22 00:29:00 Role color: 'my coloring role' changed from #45e754 to #863e59
2018-04-22 00:29:28 Role color: 'my coloring role' changed from #863e59 to #919bb9
2018-04-22 00:29:38 Role color: 'my coloring role' changed from #919bb9 to #9bee5f
2018-04-22 00:29:48 Role color: 'my coloring role' changed from #9bee5f to #dac27a
2018-04-22 00:30:05 Role color: 'my coloring role' changed from #dac27a to #15a382
2018-04-22 00:30:13 Role color: 'my coloring role' changed from #15a382 to #6b5d8e
2018-04-22 00:30:23 Role color: 'my coloring role' changed from #6b5d8e to #277f2e
2018-04-22 00:30:39 Role color: 'my coloring role' changed from #277f2e to #ff88d3
2018-04-22 00:30:49 Role color: 'my coloring role' changed from #ff88d3 to #bc993c
2018-04-22 00:31:06 Role color: 'my coloring role' changed from #bc993c to #34c297
2018-04-22 00:31:14 Role color: 'my coloring role' changed from #34c297 to #f60434
2018-04-22 00:31:29 Role color: 'my coloring role' changed from #f60434 to #bf8177
2018-04-22 00:31:40 Role color: 'my coloring role' changed from #bf8177 to #5a0331
2018-04-22 00:32:14 Role color: 'my coloring role' changed from #5a0331 to #01736c
2018-04-22 00:32:24 Role color: 'my coloring role' changed from #01736c to #6bc5fc
2018-04-22 00:32:34 Role color: 'my coloring role' changed from #6bc5fc to #ebedee
2018-04-22 00:32:44 Role color: 'my coloring role' changed from #ebedee to #be3a8b
2018-04-22 00:33:06 Role color: 'my coloring role' changed from #be3a8b to #326c91
2018-04-22 00:33:21 Role color: 'my coloring role' changed from #326c91 to #4e9864
2018-04-22 00:33:31 Role color: 'my coloring role' changed from #4e9864 to #b78e78
2018-04-22 00:33:47 Role color: 'my coloring role' changed from #b78e78 to #362c0a
2018-04-22 00:34:15 Role color: 'my coloring role' changed from #362c0a to #3a732c
2018-04-22 00:34:25 Role color: 'my coloring role' changed from #3a732c to #b85d2e
2018-04-22 00:34:35 Role color: 'my coloring role' changed from #b85d2e to #ae9e23
2018-04-22 00:34:50 Role color: 'my coloring role' changed from #ae9e23 to #3096e5
2018-04-22 00:35:00 Role color: 'my coloring role' changed from #3096e5 to #b949e9
2018-04-22 00:35:16 Role color: 'my coloring role' changed from #b949e9 to #d9df25
2018-04-22 00:35:26 Role color: 'my coloring role' changed from #d9df25 to #e344f4
2018-04-22 00:35:35 Role color: 'my coloring role' changed from #e344f4 to #0fc138
2018-04-22 00:36:19 Role color: 'my coloring role' changed from #0fc138 to #17d59a
