2018-04-24 02:15:11 #equipe_rocket @Aʂą ɴɛɢʀą#4651: Presunto
2018-05-01 22:51:03 #equipe_rocket @Knuck Knuck#1137: pesado
2018-05-01 22:53:24 #equipe_rocket @Knuck Knuck#1137: a
2018-05-01 22:53:25 #equipe_rocket @Knuck Knuck#1137: b
2018-05-01 22:53:25 #equipe_rocket @Knuck Knuck#1137: c
2018-05-01 22:53:26 #equipe_rocket @Knuck Knuck#1137: d
2018-05-01 22:53:27 #equipe_rocket @Knuck Knuck#1137: e
2018-05-01 22:53:28 #equipe_rocket @Knuck Knuck#1137: f
2018-05-01 22:53:29 #equipe_rocket @Knuck Knuck#1137: g
2018-05-01 22:53:30 #equipe_rocket @Knuck Knuck#1137: h
2018-05-01 22:53:33 #equipe_rocket @Knuck Knuck#1137: i
2018-05-01 22:53:35 #equipe_rocket @Knuck Knuck#1137: g
2018-05-01 22:53:46 #equipe_rocket @Knuck Knuck#1137 edited message from 2018-05-01 22:53:35 (g) to read: j
2018-05-01 22:53:49 #equipe_rocket @Knuck Knuck#1137: k
2018-05-01 22:53:50 #equipe_rocket @Knuck Knuck#1137: l
2018-05-01 22:53:51 #equipe_rocket @Knuck Knuck#1137: m
2018-05-01 22:53:53 #equipe_rocket @Knuck Knuck#1137: n
2018-05-01 22:53:55 #equipe_rocket @Knuck Knuck#1137: o
2018-05-01 22:53:57 #equipe_rocket @Knuck Knuck#1137: p
2018-05-01 22:53:58 #equipe_rocket @Knuck Knuck#1137: q
2018-05-01 22:54:00 #equipe_rocket @Knuck Knuck#1137: r
2018-05-01 22:54:01 #equipe_rocket @Knuck Knuck#1137: s
2018-05-01 22:54:04 #equipe_rocket @Knuck Knuck#1137: t
2018-05-01 22:54:05 #equipe_rocket @Knuck Knuck#1137: u
2018-05-01 22:54:07 #equipe_rocket @Knuck Knuck#1137: v
2018-05-01 22:54:08 #equipe_rocket @Knuck Knuck#1137: w
2018-05-01 22:54:10 #equipe_rocket @Knuck Knuck#1137: x
2018-05-01 22:54:11 #equipe_rocket @Knuck Knuck#1137: y
2018-05-01 22:54:12 #equipe_rocket @Knuck Knuck#1137: z
