2018-04-25 04:07:49 #Rust solo Voice channel join: 『DZ』pro DZ#6249 (id 347728685429948429), moved from Home, flags: self_deaf,self_mute
2018-04-25 04:07:51 #Rust solo Server self-undeafen: 『DZ』pro DZ#6249 (id 347728685429948429)
2018-04-25 04:07:53 #Rust solo Server self-deafen: 『DZ』pro DZ#6249 (id 347728685429948429)
2018-04-25 04:25:07 #Rust solo Voice channel leave: 『DZ』pro DZ#6249 (id 347728685429948429)
2018-04-27 14:43:25 #Rust solo Voice channel join: LIHWAK#2893 (id 266949537627635712), moved from Rust, flags: self_mute
2018-04-27 14:43:29 #Rust solo Voice channel join: 『DZ』Superio#1790 (id 373456004698079232)
2018-04-27 14:43:33 #Rust solo Voice channel leave: LIHWAK#2893 (id 266949537627635712) moving to Rust solo
2018-04-27 14:43:37 #Rust solo Voice channel leave: 『DZ』Superio#1790 (id 373456004698079232) moving to Rust solo
2018-04-27 15:05:03 #Rust solo Voice channel join: LIHWAK#2893 (id 266949537627635712), moved from Rust solo
2018-04-27 15:05:03 #Rust solo Voice channel join: LIHWAK#2893 (id 266949537627635712), moved from Rust solo
2018-04-27 15:05:03 #Rust solo Voice channel leave: LIHWAK#2893 (id 266949537627635712) moving to Rust solo
2018-04-27 15:05:06 #Rust solo Voice channel leave: LIHWAK#2893 (id 266949537627635712) moving to Rust solo
2018-04-27 15:05:07 #Rust solo Voice channel join: LIHWAK#2893 (id 266949537627635712), moved from Rust solo
2018-04-27 15:05:07 #Rust solo Voice channel leave: LIHWAK#2893 (id 266949537627635712) moving to Rust solo
2018-04-27 15:05:10 #Rust solo Voice channel join: LIHWAK#2893 (id 266949537627635712), moved from Rust solo
2018-04-27 15:05:10 #Rust solo Voice channel join: LIHWAK#2893 (id 266949537627635712), moved from Rust solo
2018-04-27 15:05:10 #Rust solo Voice channel join: LIHWAK#2893 (id 266949537627635712), moved from Rust solo
2018-04-27 15:05:10 #Rust solo Voice channel leave: LIHWAK#2893 (id 266949537627635712) moving to Rust solo
